Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,19660,164.2619,154.2700,33.9842,113.3766,6.9092
2,19666,163.9968,147.7683,35.9315,103.1073,8.7296
3,19612,144.2705,120.1419,29.2195,86.3236,4.5988
4,25787,127.8758,118.1918,27.8664,82.5330,7.7923
5,22389,126.8906,113.0230,27.6693,77.4472,7.9065
6,27571,146.0283,110.1253,20.9189,82.1080,7.0984
7,19608,109.3175,109.6939,27.1184,71.6876,10.8879
8,19613,117.8542,107.5111,32.1904,69.2616,6.0590
9,19681,117.9317,105.7116,33.2606,61.1730,11.2780
10,19665,115.8498,104.4282,17.5316,78.7690,8.1276
11,24551,112.3377,104.0861,22.0862,69.0992,12.9008
12,24068,104.3043,102.5269,23.7639,72.3150,6.4480
13,26167,111.5712,101.8114,28.7375,66.1604,6.9135
14,27501,108.8717,100.1965,19.6214,71.5895,8.9856
15,19392,111.3615,96.4254,23.3379,65.1023,7.9852
16,23687,113.0570,93.8237,22.8325,62.2107,8.7805
17,32198,105.9542,92.2848,22.4057,62.4632,7.4159
18,22404,112.1226,91.8868,20.3446,60.3725,11.1697
19,30319,103.1502,91.7545,15.4497,68.5283,7.7765
20,19606,112.0972,91.3158,23.3676,63.2423,4.7059
21,19395,115.5800,86.3534,23.6907,57.5273,5.1353
22,24306,96.1109,69.0789,28.8653,35.9951,4.2185
23,19797,72.6114,68.9987,30.7392,35.2334,3.0262
24,32333,72.5278,67.9492,20.2438,42.6058,5.0995
25,19961,65.8686,64.4317,19.9314,39.6306,4.8696
26,32633,47.4855,46.7939,14.0826,24.8190,7.8923
27,31558,52.3680,45.2202,14.5047,29.2147,1.5008
28,19601,49.4889,44.9771,7.7448,31.9822,5.2501
29,30794,38.6253,36.2621,15.3401,16.7582,4.1638
