Rank,Team Number,OPR,OPR No Penalty Scored,OPR Auto,OPR Teleop Only,OPR Endgame
1,15083,177.8244,166.2857,42.1300,116.0937,8.0619
2,24799,127.1679,121.6543,25.1435,87.7944,8.7164
3,21438,118.5928,111.1040,28.1708,77.9470,4.9862
4,12313,109.9125,95.5793,31.0196,56.6095,7.9502
5,20240,86.4119,87.0398,31.4297,52.1940,3.4161
6,12977,83.1985,84.5679,18.2763,62.6998,3.5918
7,14524,81.7396,77.9432,18.6908,51.8555,7.3968
8,19897,81.7661,77.4009,32.7215,37.1301,7.5494
9,16311,84.5055,75.6065,27.3164,40.4864,7.8037
10,4886,69.2442,70.1784,17.9408,46.3567,5.8808
11,27082,65.2192,65.4146,27.1396,31.6183,6.6567
12,31938,59.6775,60.5269,19.9497,32.2615,8.3157
13,22563,61.5817,51.9392,9.9932,27.6476,14.2983
14,4008,45.5016,49.8987,13.0193,31.0164,5.8630
15,3033,53.1700,48.3074,6.7807,35.3941,6.1326
16,16914,49.6614,46.8679,11.2259,30.9826,4.6594
17,16816,51.3289,37.1891,16.9778,7.9834,12.2279
18,21843,43.5098,30.4168,1.9199,19.8815,8.6155
19,8114,32.5462,23.7380,12.9651,0.3062,10.4666
20,4707,38.9617,21.7680,3.0495,7.9654,10.7532
21,22853,20.9810,21.6313,1.4050,16.8992,3.3271
22,12456,13.9237,5.4662,2.7471,-1.1619,3.8810
