Rank,Team Number,OPR,OPR No Penalty Scored,OPR Auto,OPR Teleop Only,OPR Endgame
1,16832,184.0000,171.5000,45.8333,117.3333,8.3333
2,30030,184.0000,171.5000,45.8333,117.3333,8.3333
3,15083,166.1667,157.8333,43.1667,109.6667,5.0000
4,21171,166.1667,157.8333,43.1667,109.6667,5.0000
