Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,31167,145.2392,130.7230,31.2663,93.3671,6.0897
2,31715,114.1613,112.0873,32.7462,69.2294,10.1117
3,32528,113.7341,103.6834,22.4332,72.2772,8.9730
4,21981,123.3613,102.2212,28.6846,64.9738,8.5629
5,31596,96.0838,96.2127,19.7302,65.1511,11.3314
6,19665,110.1726,94.4627,26.3989,60.3729,7.6909
7,32008,94.1272,92.4001,20.3815,63.9018,8.1168
8,25218,91.2348,88.9221,25.7932,55.2962,7.8327
9,24567,102.7695,84.6635,30.8719,42.9256,10.8661
10,23687,90.4941,81.1925,25.5342,51.4333,4.2249
11,19606,112.8957,77.9629,25.8103,48.8334,3.3192
12,32479,94.2769,77.9365,14.1131,54.9117,8.9117
13,19583,71.1973,67.6425,8.7709,54.6904,4.1812
14,19656,79.4920,66.3937,24.8373,27.0372,14.5193
15,32235,76.3942,63.9638,25.9956,29.2222,8.7460
16,19726,63.3509,57.1244,14.3847,35.4736,7.2661
17,30222,75.9095,54.7822,18.4780,29.5996,6.7045
18,19859,51.0548,51.5509,8.8784,39.1202,3.5523
19,31971,53.3494,42.7806,11.4458,28.6428,2.6920
20,19961,46.9861,39.6802,13.6974,21.7324,4.2504
21,30794,53.7505,39.0238,9.3801,20.0326,9.6111
22,22438,49.4888,36.0109,9.4384,17.4595,9.1130
23,32633,49.0625,33.3779,6.7104,17.5706,9.0968
24,28270,45.3397,32.8628,17.8792,11.5679,3.4157
25,32238,44.9623,32.6508,6.4797,24.7134,1.4578
26,29186,31.6095,27.7501,16.0486,8.0320,3.6695
27,30844,44.5544,26.3348,9.2875,8.2290,8.8183
28,22454,30.0877,26.0785,9.6820,11.2838,5.1127
29,28119,58.6113,24.9497,16.9861,2.2513,5.7124
30,26296,26.3295,21.2705,5.9586,10.0664,5.2455
31,32537,21.5916,18.0951,4.0005,3.2936,10.8011
32,28042,23.1766,2.1189,2.7443,-4.8002,4.1748
