Rank,Team Number,OPR,OPR No Penalty Scored,OPR Auto,OPR Teleop Only,OPR Endgame
1,21346,121.7145,102.8723,27.8935,66.8743,8.1045
2,16226,111.1263,89.8263,30.6288,48.8887,10.3088
3,18458,95.2250,87.6193,18.2717,63.6337,5.7139
4,19779,109.0230,87.2280,19.6449,57.8802,9.7030
5,31133,103.3545,86.1534,19.1738,58.5557,8.4238
6,8626,75.5996,82.2405,30.8393,44.5564,6.8448
7,15549,88.7972,79.8576,33.1475,40.8394,5.8707
8,19955,79.5290,78.1323,24.1724,47.2378,6.7221
9,18908,78.9288,70.7586,24.5164,38.6803,7.5619
10,23612,55.0098,65.5509,20.0766,40.4152,5.0591
11,31954,106.6831,62.1836,8.5942,43.8791,9.7103
12,27014,75.8749,61.4450,21.4650,33.4872,6.4928
13,23668,45.4258,60.7253,11.9317,41.6271,7.1665
14,18630,45.0863,60.1265,18.6019,36.2072,5.3174
15,11720,118.1934,58.9115,17.1160,30.8483,10.9472
16,31765,55.3217,56.7065,17.4656,33.8177,5.4232
17,15152,72.8042,56.1433,20.0395,28.3008,7.8030
18,23492,66.1726,52.5966,12.9519,24.9701,14.6746
19,15877,72.2544,51.3405,18.1787,27.2768,5.8850
20,16617,39.7787,41.2329,13.1238,13.7765,14.3327
21,11158,33.8953,38.1642,11.2323,17.6015,9.3304
22,10632,36.6143,35.8590,14.5086,18.1628,3.1876
23,16756,42.5073,33.2765,16.3712,15.9382,0.9671
24,8406,35.7068,23.9773,5.1434,15.2085,3.6253
25,15491,28.3737,23.7142,6.3786,10.1158,7.2197
26,26828,0.9411,17.1094,5.1379,7.4014,4.5701
27,10862,-14.0268,14.8732,6.6795,9.4358,-1.2421
28,4641,17.8566,14.5111,2.2167,7.8425,4.4519
