Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,20313,16832,23944,6832,69,57,6,6,146,129,2,0,15,0,0,0,215,72,48,18,6,192,174,8,0,10,0,0,0,264
0,2,6566,16320,4848,7505,43,30,10,3,112,72,10,0,30,15,1,0,180,40,30,4,6,109,89,10,0,10,25,1,2,164
0,3,13269,4902,12209,12395,32,18,8,6,40,19,6,0,15,10,0,2,72,48,28,14,6,112,92,10,0,10,0,0,0,170
0,4,8811,25801,12713,12820,37,21,10,6,81,54,12,0,15,30,2,0,133,33,27,0,6,114,100,4,0,10,15,1,0,177
0,5,22837,25783,27283,24764,56,42,8,6,97,72,10,0,15,20,1,1,153,24,15,6,3,58,40,8,0,10,0,0,0,102
0,6,33791,12713,18900,6566,44,31,10,3,108,88,10,0,10,15,1,0,177,6,0,0,6,96,60,6,0,30,25,1,2,117
0,7,4848,13269,25783,8811,46,30,10,6,104,88,6,0,10,15,1,0,150,49,27,16,6,88,73,0,0,15,0,0,0,152
0,8,12395,27283,18900,20313,38,24,8,6,39,24,0,0,15,50,3,1,77,19,9,4,6,88,61,12,0,15,0,0,0,157
0,9,33791,12209,16832,22837,21,18,0,3,129,113,6,0,10,0,0,0,175,44,39,2,3,109,99,0,0,10,25,0,5,153
0,10,12820,16320,23944,24764,44,29,12,3,131,108,8,0,15,15,1,0,180,57,43,8,6,123,111,2,0,10,5,0,1,195
0,11,6832,4902,7505,25801,22,12,4,6,54,36,8,0,10,0,0,0,81,19,12,4,3,83,60,8,0,15,5,0,1,102
0,12,12820,23944,6566,13269,61,42,16,3,213,177,6,0,30,5,0,1,299,16,6,4,6,34,24,0,0,10,25,1,2,55
0,13,6832,12713,27283,12209,43,27,10,6,98,71,12,0,15,5,0,1,146,34,21,10,3,62,48,4,0,10,5,0,1,101
0,14,8811,33791,16320,12395,32,18,8,6,122,95,12,0,15,0,0,0,184,34,24,4,6,95,72,8,0,15,30,1,3,129
0,15,22837,4848,4902,20313,47,33,8,6,118,103,10,0,5,15,1,0,165,23,15,2,6,81,60,6,0,15,0,0,0,119
0,16,25783,18900,16832,7505,40,30,4,6,99,69,14,1,15,0,0,0,164,36,30,0,6,122,106,6,0,10,25,1,2,158
0,17,24764,20313,25801,13269,22,15,4,3,91,68,8,0,15,30,0,6,118,20,12,2,6,119,100,4,0,15,5,0,1,169
0,18,6566,12395,25783,6832,48,36,6,6,90,69,6,0,15,140,9,1,158,44,30,8,6,43,31,2,0,10,20,0,4,227
0,19,22837,25801,16320,18900,27,21,0,6,114,72,12,0,30,0,0,0,281,25,15,4,6,77,63,4,0,10,140,9,1,102
0,20,7505,12209,8811,23944,31,21,4,6,93,81,2,0,10,0,0,0,124,60,40,14,6,204,179,10,0,15,0,0,0,264
0,21,24764,16832,12713,4848,35,27,2,6,110,93,2,0,15,20,1,1,145,34,24,4,6,98,84,4,0,10,0,0,0,152
0,22,12820,27283,33791,4902,34,21,10,3,64,52,2,0,10,15,1,0,103,44,28,10,6,113,71,12,0,30,5,0,1,172
0,23,12713,7505,12395,22837,0,0,0,0,115,90,10,0,15,5,0,1,145,38,30,2,6,106,81,10,0,15,30,1,3,149
0,24,6832,18900,12820,4848,30,24,0,6,63,51,2,0,10,15,1,0,138,36,21,12,3,122,113,4,0,5,45,2,3,173
0,25,24764,6566,4902,8811,34,24,4,6,46,27,4,0,15,0,0,0,115,18,12,0,6,84,63,6,0,15,35,1,4,102
0,26,25801,25783,23944,33791,43,33,4,6,68,51,2,0,15,5,0,1,136,64,42,16,6,140,123,2,0,15,25,1,2,209
0,27,16320,27283,13269,16832,43,30,10,3,84,63,6,0,15,15,1,0,132,38,30,2,6,145,122,8,0,15,5,0,1,198
0,28,20313,12820,12209,6566,32,21,8,3,124,99,10,0,15,0,0,0,176,28,18,4,6,115,99,6,0,10,20,1,1,143
1,1,8811,12820,25783,20313,38,27,8,3,135,99,6,0,30,0,0,0,213,46,39,4,3,78,66,2,0,10,40,2,2,124
2,1,22837,6832,12713,12395,44,24,14,6,69,51,8,0,10,5,0,1,113,35,30,2,3,90,69,6,0,15,0,0,0,130
3,1,23944,4848,8811,12820,79,65,8,6,219,198,6,0,15,15,0,3,303,30,18,6,6,122,93,14,0,15,5,0,1,167
4,1,33791,16832,12713,12395,58,42,10,6,190,165,10,0,15,10,0,2,248,53,45,2,6,90,74,6,0,10,0,0,0,153
5,1,8811,12820,22837,6832,42,27,12,3,100,79,6,0,15,15,1,0,142,46,24,16,6,70,47,8,0,15,0,0,0,131
6,1,12713,12395,25783,20313,31,21,4,6,72,54,8,0,10,0,0,0,138,55,42,10,3,99,76,8,0,15,35,0,7,154
