Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,12527,19683,24667,19705,29,24,2,3,140,100,10,0,30,25,0,5,184,30,24,0,6,148,121,12,0,15,15,1,0,203
0,2,28103,19682,25720,28660,46,36,4,6,55,39,6,0,10,15,0,3,101,37,21,10,6,74,54,10,0,10,0,0,0,126
0,3,19914,19581,20106,16093,47,29,12,6,134,112,12,0,10,5,0,1,226,42,36,0,6,160,133,12,0,15,45,2,3,207
0,4,30753,32537,32534,19597,0,0,0,0,10,0,0,0,10,0,0,0,170,24,15,6,3,61,44,12,0,5,160,1,29,85
0,5,19730,16095,19681,32009,34,21,10,3,41,24,2,0,15,25,1,2,125,24,12,6,6,127,111,10,1,5,50,2,4,176
0,6,27570,19613,20827,32477,52,45,4,3,144,125,4,0,15,45,2,3,206,37,30,4,3,85,66,4,0,15,10,0,2,167
0,7,23267,32237,19759,25787,14,6,2,6,85,66,4,0,15,15,1,0,124,41,27,8,6,118,102,6,0,10,25,1,2,174
0,8,30066,32528,30613,25832,47,33,8,6,69,54,0,0,15,45,2,3,121,9,3,0,6,110,87,8,0,15,5,0,1,164
0,9,19683,32537,32009,20106,44,29,12,3,83,56,12,0,15,15,1,0,222,41,30,8,3,134,117,2,0,15,95,6,1,190
0,10,30753,16093,19705,19681,48,36,6,6,99,78,6,0,15,15,1,0,162,53,39,8,6,115,98,2,0,15,15,0,3,183
0,11,23267,28103,19597,20827,30,21,6,3,47,35,2,0,10,5,0,1,122,44,30,8,6,111,90,6,0,15,45,2,3,160
0,12,32534,24667,19613,16095,50,33,14,3,134,120,4,0,10,110,5,7,189,51,35,10,6,116,93,8,0,15,5,0,1,277
0,13,30613,12527,28660,19759,6,0,0,6,141,114,12,0,15,50,3,1,147,14,6,2,6,30,12,8,0,10,0,0,0,94
0,14,32477,19914,19730,30066,40,24,10,6,80,57,8,0,15,65,4,1,150,19,9,4,6,69,57,2,0,10,30,1,3,153
0,15,25720,27570,32528,32237,45,33,6,6,182,159,8,0,15,20,0,4,262,37,27,4,6,102,82,10,0,10,35,1,4,159
0,16,25832,19682,25787,19581,36,24,6,6,159,136,8,0,15,10,0,2,195,51,39,6,6,119,100,4,0,15,0,0,0,180
0,17,30753,19613,19683,28103,45,29,10,6,83,61,12,0,10,10,0,2,143,50,36,8,6,80,69,6,0,5,15,1,0,140
0,18,20106,32534,19759,19730,37,27,4,6,126,103,8,0,15,10,0,2,193,13,9,4,0,77,58,4,0,15,30,1,3,100
0,19,32009,20827,32237,12527,32,27,2,3,104,81,8,0,15,25,1,2,141,6,0,0,6,141,124,2,0,15,5,0,1,172
0,20,19597,30066,19682,19681,20,15,2,3,36,24,2,0,10,25,1,2,61,46,30,10,6,107,83,14,0,10,5,0,1,178
0,21,32528,24667,19581,23267,47,33,8,6,158,133,10,0,15,30,1,3,240,47,35,6,6,105,84,6,0,15,35,2,1,182
0,22,25720,19705,32537,19914,69,51,12,6,166,141,10,0,15,115,7,2,245,26,15,8,3,73,48,10,0,15,10,0,2,214
0,23,16093,28660,25832,32477,44,33,8,3,115,96,4,0,15,0,0,0,164,42,36,0,6,158,129,14,0,15,5,0,1,200
0,24,30613,25787,27570,16095,15,9,0,6,75,58,2,0,15,15,0,3,90,50,39,8,3,104,81,8,0,15,0,0,0,169
0,25,28103,19581,32534,30066,40,30,4,6,116,78,8,0,30,5,0,1,201,22,12,4,6,56,48,8,0,0,45,2,3,83
0,26,19759,25720,19683,20827,34,21,10,3,72,54,8,0,10,100,1,17,181,35,24,8,3,90,72,8,0,10,75,4,3,225
0,27,19705,25832,32009,19597,47,33,8,6,165,144,6,0,15,20,1,1,277,48,36,6,6,103,65,8,0,30,65,3,4,171
0,28,32528,20106,32477,25787,49,33,10,6,151,126,10,0,15,5,0,1,235,42,30,6,6,74,49,10,0,15,35,2,1,121
0,29,16093,19730,19613,23267,36,24,6,6,130,105,10,0,15,90,4,6,196,43,33,4,6,85,60,10,0,15,30,1,3,218
0,30,19681,19914,32237,30613,42,33,6,3,127,104,8,0,15,10,0,2,189,20,12,2,6,72,49,8,0,15,20,0,4,102
0,31,16095,12527,19682,30753,32,24,8,0,127,107,10,0,10,5,0,1,164,29,24,2,3,54,39,0,0,15,5,0,1,88
0,32,32537,27570,28660,24667,46,33,10,3,136,117,4,0,15,25,1,2,207,52,36,10,6,73,53,10,0,10,25,1,2,150
0,33,25787,32009,16093,28103,61,42,16,3,183,162,6,0,15,65,3,4,264,56,34,16,6,111,90,6,0,15,20,0,4,232
0,34,19681,32534,25832,19683,48,36,6,6,117,96,6,0,15,20,1,1,170,24,18,0,6,164,139,10,0,15,5,0,1,208
0,35,19914,19613,12527,32528,41,27,8,6,95,66,14,0,15,10,0,2,161,51,33,12,6,138,111,12,0,15,25,1,2,199
0,36,20827,19730,19705,28660,39,27,6,6,122,97,10,0,15,15,0,3,181,34,24,4,6,82,62,10,0,10,20,1,1,131
0,37,16095,32477,32537,19759,58,42,10,6,109,86,8,0,15,75,5,0,182,6,0,0,6,28,18,0,0,10,15,0,3,109
0,38,19597,25720,19581,30613,31,21,4,6,135,113,12,0,10,5,0,1,176,42,29,10,3,84,68,6,0,10,10,0,2,131
0,39,30066,23267,27570,30753,34,27,4,3,74,54,10,0,10,20,0,4,123,30,24,6,0,97,81,6,0,10,15,1,0,147
0,40,,19682,24667,20106,42,27,12,3,74,56,8,0,10,5,0,1,126,48,30,12,6,158,133,10,0,15,10,0,2,211
0,41,25787,19681,12527,32537,49,39,4,6,153,124,14,0,15,5,0,1,282,11,3,2,6,111,96,10,0,5,80,2,10,127
0,42,28660,32528,16095,19597,52,36,10,6,85,66,4,0,15,20,1,1,267,23,21,2,0,74,60,4,0,10,130,6,8,117
0,43,32477,19705,23267,30613,55,39,10,6,108,85,8,0,15,15,1,0,198,22,15,4,3,88,65,8,0,15,35,1,4,125
0,44,20827,16093,19682,32534,28,21,4,3,118,99,4,0,15,20,1,1,186,48,33,12,3,83,49,4,0,30,40,2,2,151
0,45,24667,19759,19914,30753,56,36,14,6,97,72,10,0,15,20,1,1,173,24,12,6,6,25,9,6,0,10,20,1,1,69
0,46,20106,25832,28103,27570,49,33,10,6,193,171,12,0,10,10,0,2,242,43,36,4,3,104,89,0,0,15,0,0,0,157
