Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,18458,23612,19955,27014,33,21,6,6,104,81,8,0,15,20,0,4,137,38,30,2,6,58,39,4,0,15,0,0,0,116
0,2,,16756,18908,31765,21,12,6,3,32,17,10,0,5,10,0,2,53,39,24,12,3,92,67,10,0,15,0,0,0,141
0,3,16617,8406,18630,4641,15,9,0,6,45,24,6,0,15,0,0,0,70,27,18,6,3,57,29,18,0,10,10,0,2,84
0,4,15152,8626,10632,23668,48,36,6,6,114,93,6,0,15,0,0,0,177,35,21,8,6,84,75,4,0,5,15,1,0,119
0,5,11720,26828,15877,11158,21,15,6,0,58,48,0,0,10,35,1,4,79,20,12,2,6,53,32,6,0,15,0,0,0,108
0,6,16226,31954,23492,15491,43,36,4,3,132,109,8,0,15,0,0,0,210,26,12,8,6,41,24,2,0,15,35,2,1,67
0,7,15549,31133,19779,21346,48,39,6,3,102,81,6,0,15,30,2,0,160,48,36,6,6,141,124,2,0,15,10,0,2,219
0,8,4641,19955,23668,11720,23,15,2,6,67,49,8,0,10,0,0,0,100,27,15,6,6,80,57,8,0,15,10,0,2,107
0,9,31765,31954,15152,26828,14,9,2,3,56,35,6,0,15,5,0,1,70,25,15,4,6,48,27,6,0,15,0,0,0,78
0,10,31133,,15491,8406,22,15,4,3,89,79,10,0,0,15,1,0,111,6,3,0,3,69,42,12,0,15,0,0,0,90
0,11,16617,18458,11158,16756,29,24,2,3,98,75,8,0,15,0,0,0,127,28,18,4,6,51,39,2,0,10,0,0,0,79
0,12,19779,8626,27014,18908,45,33,6,6,108,79,14,0,15,30,1,3,153,41,29,6,6,92,67,10,0,15,0,0,0,163
0,13,21346,10632,18630,16226,34,27,4,3,93,71,12,0,10,0,0,0,152,47,33,8,6,87,64,8,0,15,25,0,5,134
0,14,23492,23612,15877,15549,39,27,6,6,124,97,12,0,15,10,0,2,163,54,34,14,6,82,61,6,0,15,0,0,0,146
0,15,27014,31765,31133,16617,40,27,10,3,88,64,14,0,10,30,1,3,188,36,18,12,6,86,48,8,0,30,60,4,0,152
0,16,4641,15152,15491,18458,32,18,8,6,52,37,0,0,15,5,0,1,99,40,33,4,3,82,66,6,0,10,15,1,0,127
0,17,8406,10632,26828,15549,32,18,8,6,42,21,10,1,10,5,0,1,74,37,25,6,6,59,39,10,0,10,0,0,0,101
0,18,11158,16226,23612,19779,45,27,12,6,78,40,8,0,30,10,0,2,128,38,30,2,6,126,103,8,0,15,5,0,1,174
0,19,18908,15877,21346,23668,45,29,10,6,77,54,8,0,15,0,0,0,137,46,28,12,6,141,114,12,0,15,15,1,0,187
0,20,31954,11720,16756,8626,31,21,4,6,106,62,14,0,30,5,0,1,357,48,32,10,6,65,51,4,0,10,220,14,2,118
0,21,19955,18630,10862,23492,48,30,12,6,113,89,14,0,10,0,0,0,161,14,9,2,3,38,22,6,0,10,0,0,0,52
0,22,23668,27014,16226,26828,36,24,6,6,98,70,12,1,15,15,1,0,134,41,33,2,6,76,51,10,0,15,0,0,0,132
0,23,31765,19779,18458,10632,46,28,12,6,113,86,12,0,15,0,0,0,184,31,21,4,6,97,83,4,0,10,25,1,2,128
