Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,19606,26167,19666,32333,45,33,6,6,163,141,12,0,10,20,1,1,238,66,50,10,6,146,115,16,0,15,30,1,3,232
0,2,22389,24551,24306,27571,32,27,2,3,156,120,6,0,30,230,1,43,253,19,12,4,3,85,67,8,0,10,65,3,4,334
0,3,19601,19797,30319,31558,39,36,0,3,70,48,12,0,10,0,0,0,124,6,0,0,6,110,98,2,0,10,15,1,0,116
0,4,19660,19612,30794,19395,52,42,4,6,241,216,10,0,15,20,1,1,333,12,9,0,3,71,48,8,0,15,40,2,2,103
0,5,19665,19392,24068,27501,40,27,10,3,159,132,12,0,15,5,0,1,234,53,33,14,6,164,133,16,0,15,35,2,1,222
0,6,32198,19613,23687,32633,54,38,10,6,128,107,6,0,15,5,0,1,197,36,30,0,6,69,54,0,0,15,15,1,0,110
0,7,19681,22404,25787,19961,45,33,6,6,142,102,10,0,30,25,1,2,217,42,30,6,6,131,104,12,0,15,30,2,0,198
0,8,19608,19665,27571,19612,40,33,4,3,159,123,6,0,30,15,0,3,214,49,35,8,6,153,135,8,0,10,15,1,0,217
0,9,19660,24306,32198,19601,65,51,8,6,163,140,8,0,15,25,1,2,243,18,9,6,3,98,78,10,0,10,15,0,3,141
0,10,25787,27501,32633,19395,49,36,10,3,175,152,8,0,15,10,0,2,239,42,33,6,3,83,60,12,1,10,15,0,3,135
0,11,26167,30319,30794,19681,63,45,12,6,141,114,12,0,15,5,0,1,274,44,30,8,6,49,39,0,0,10,70,4,2,98
0,12,19613,19961,19392,32333,42,30,6,6,117,93,14,0,10,0,0,0,179,41,27,8,6,90,72,8,0,10,20,1,1,131
0,13,24551,19666,24068,31558,56,48,2,6,185,147,8,0,30,65,4,1,261,40,30,4,6,115,92,12,1,10,20,1,1,220
0,14,19606,23687,19797,19608,41,27,8,6,135,91,14,0,30,5,0,1,286,51,39,6,6,107,89,8,0,10,110,2,16,163
0,15,22404,32633,19601,22389,42,24,12,6,116,70,16,0,30,15,0,3,193,6,0,0,6,69,63,0,1,5,35,2,1,90
0,16,24306,32333,27501,30794,57,47,4,6,77,65,2,0,10,40,2,2,134,35,21,8,6,101,78,8,0,15,0,0,0,176
0,17,19395,32198,24551,19606,47,33,8,6,157,136,6,0,15,0,0,0,274,46,30,10,6,167,143,14,0,10,70,4,2,213
0,18,19608,19660,22389,19961,39,33,0,6,195,170,10,0,15,0,0,0,254,50,42,2,6,117,94,8,0,15,20,0,4,167
0,19,19612,24068,22404,19797,49,33,10,6,215,193,12,0,10,20,1,1,269,42,30,6,6,103,85,8,0,10,5,0,1,165
0,20,30319,23687,19666,19665,39,27,6,6,166,143,8,0,15,5,0,1,215,66,48,12,6,195,168,12,0,15,10,0,2,266
0,21,27571,25787,19613,26167,51,45,0,6,203,176,12,0,15,30,1,3,269,57,42,12,3,165,140,10,0,15,15,0,3,252
