Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,43,30222,19859,21981,30844,13,6,4,3,70,47,8,0,15,80,5,1,83,46,33,10,3,110,80,0,0,30,0,0,0,236
0,44,25218,31596,22454,28119,50,36,8,6,88,54,4,0,30,60,1,9,153,40,27,10,3,21,0,10,1,10,15,1,0,121
0,45,23687,32633,26296,22438,43,27,10,6,73,57,6,0,10,40,2,2,156,21,12,6,3,42,24,8,0,10,40,2,2,103
0,46,28042,32008,32479,31167,28,15,10,3,95,75,10,0,10,5,0,1,143,35,27,2,6,129,108,6,0,15,20,0,4,169
0,47,19726,32528,31971,24567,12,6,0,6,132,114,8,0,10,20,1,1,144,41,30,8,3,82,68,4,0,10,0,0,0,143
0,48,19606,28270,19665,32238,49,36,10,3,113,86,12,0,15,15,0,3,267,34,24,4,6,122,104,8,0,10,105,6,3,171
1,1,19726,19656,32479,32235,48,28,14,6,93,57,6,0,30,5,0,1,141,42,30,6,6,112,85,12,0,15,0,0,0,159
2,1,19606,31596,21981,23687,33,21,6,6,93,73,10,0,10,100,5,5,136,41,31,4,6,114,94,10,0,10,10,0,2,255
3,1,31167,25218,32479,32235,72,58,8,6,204,181,8,0,15,5,0,1,296,37,27,4,6,119,99,10,0,10,20,1,1,161
4,1,31715,32528,21981,23687,65,45,14,6,118,95,8,0,15,5,0,1,188,54,42,6,6,152,130,12,0,10,5,0,1,211
5,1,32479,32235,19606,31596,23,15,2,6,104,72,2,0,30,30,1,3,212,50,32,12,6,133,108,10,0,15,85,5,2,213
6,1,31715,32528,19726,19656,57,42,12,3,188,146,12,0,30,0,0,0,250,38,29,6,3,111,77,4,0,30,5,0,1,149
7,1,31167,25218,21981,23687,54,45,6,3,91,72,4,0,15,5,0,1,150,45,33,6,6,123,108,10,0,5,5,0,1,173
8,1,31715,32528,19606,31596,53,37,10,6,143,111,2,0,30,25,1,2,216,52,36,10,6,112,91,6,0,15,20,0,4,189
9,1,31167,25218,31715,32528,64,48,10,6,194,167,12,0,15,5,0,1,263,63,41,16,6,161,138,8,0,15,5,0,1,229
10,1,21981,23687,31167,25218,60,42,12,6,119,81,8,0,30,5,0,1,214,30,21,6,3,167,144,8,0,15,35,2,1,202
